,Country Name,Year,Agriculture Value Added (Annual % Growth),Industry Value Added (Annual % Growth),Manufacturing Value Added (Annual % Growth),Service Value Added (Annual % Growth)
0,Bangladesh,1961,5.20813666596493,2.03375392353082,8.22966750436341,0.629359941166513
1,Bolivia,1961,4.88929891895577,-1.46484372394819,0.209643680235573,2.525252532857
2,Chile,1961,-1.83638559019909,4.86740792399178,7.42874979204404,4.16610459061964
3,Costa Rica,1961,3.67665897894267,-1.05280473872715,-5.20663086788011,-3.03864168569919
4,Ecuador,1961,5.36994930087343,8.02243239661338,3.82192351623669,4.41453929415667
5,France,1961,-5.03358542101138,8.27868664897638,6.19410464768775,4.05679218406378
6,Guatemala,1961,1.72901603609867,10.9290368325396,5.75645755746996,3.1904875562673
7,Guyana,1961,5.55065480861924,6.47653165593813,13.574928963804,4.38503683756434
8,Honduras,1961,6.52714134313916,-2.49653288905407,-0.729926615461807,1.48248025148237
9,Indonesia,1961,1.66349809634025,11.78571428523,12.2699386492271,9.93537964861824
10,India,1961,0.0842074450338828,6.71267659356647,8.53950518773374,4.90166464140762
11,"Iran, Islamic Rep.",1961,1.35959623092941,16.8619595732578,8.00000000000136,1.56436630449089
12,"Korea, Rep.",1961,14.9046080131765,6.29963260990156,5.41000077285725,0.99549546951512
13,Nicaragua,1961,8.99390244322136,10.3785429655029,11.0124333947157,3.08703192711151
14,Pakistan,1961,-0.201768379324861,17.8324405988431,12.7781065508776,5.88361287876555
15,South Asia,1961,0.524048131782664,6.73348202301258,8.7879580545649,3.79159312707291
16,Singapore,1961,1.91214470284238,11.2465878142944,5.34680663200236,8.44746776743501
17,South Asia (IDA & IBRD),1961,0.524048131782664,6.73348202301258,8.78795805456491,3.79159312707291
18,South Africa,1961,3.71384785940201,4.56243452824097,4.49375899577642,3.23723578972999
19,Bangladesh,1962,5.24617719790209,26.6464781715953,7.0046294177879,0.63898492021714
20,Bolivia,1962,-0.967458283363626,10.1090188013137,10.6694560252763,7.60028148975398
21,Chile,1962,-4.55640407974064,12.3764313107281,9.44058288384791,1.82383285545768
22,Costa Rica,1962,6.12875324111914,8.44555278452006,7.68472906436615,9.02723265433096
23,Ecuador,1962,8.59893758989239,0.539953108371449,7.72653726297389,2.87513816193494
24,France,1962,9.00723536910444,6.96403732650266,7.39927292271602,6.30901605159259
25,Guatemala,1962,3.49196539000907,-1.44741993002953,5.44312631286475,4.46938179795478
26,Guyana,1962,-0.894683682931628,13.7311040774834,8.63468620358941,-4.22735929346328
27,Honduras,1962,4.75250252315485,13.679430009818,3.61990733675752,4.06706881677137
28,Indonesia,1962,3.27255726946687,-0.319488816912212,1.36612021903197,0.587803083053331
29,India,1962,-1.98909882496424,7.07202792355366,7.2794117647522,5.39081477151844
30,"Iran, Islamic Rep.",1962,0.495275516005165,10.656777843576,16.3923182441686,4.17919339546553
31,"Korea, Rep.",1962,-6.33307271305708,16.5418517475326,15.213725346433,7.56565985368947
32,Sri Lanka,1962,3.07222181290992,6.07895924704597,6.11689555255495,4.92192477744418
33,Nicaragua,1962,10.0839160877635,26.6162915885231,16.9046153740777,1.87349315268743
34,Pakistan,1962,6.18142404219235,9.32579291154656,13.1765169237466,0.542188597993615
35,South Asia,1962,-0.571242115183864,8.40812108138611,7.58040111514109,3.68045260616643
36,Singapore,1962,6.44016227180528,9.96006294343807,8.97746321475135,7.20929090413736
37,South Asia (IDA & IBRD),1962,-0.57124211518385,8.40812108138613,7.58040111514109,3.68045260616643
38,South Africa,1962,5.6715291750503,7.09258512488344,6.89390432534351,5.06255084211386
39,Bangladesh,1963,-3.36468893190724,3.91926614303459,5.46935296846689,4.39431499519014
40,Bolivia,1963,5.62579017927372,9.98995986937747,6.62983424074829,5.51113647813506
41,Chile,1963,6.20234131699688,7.5933060997454,3.93734555935552,5.43390707211114
42,Costa Rica,1963,-0.291069970318034,9.62747202341845,13.3806038442426,5.44971200849189
43,Ecuador,1963,0.596147934803781,5.18763093440711,7.60420575566188,3.36771598748177
44,France,1963,-4.98771797267882,7.68891339889257,10.1636921299005,5.43686168244662
45,Guatemala,1963,14.5117945630998,5.42800511499524,9.79483785069348,10.7737065533252
46,Guyana,1963,-7.65334374576902,-18.2724952901003,8.15372511130997,-11.5105576978433
47,Honduras,1963,3.63706164345578,1.72778799555486,3.22052374826957,5.02472364302456
